date,Los Angeles,New York,San Diego,Dallas,San Francisco,Boston,Atlanta,Miami,Tampa,Honolulu,U.S.
2024-06-02,-7.458333333333334,-2.804841666666667,-7.8133333333333335,7.052333333333334,-18.12,8.360833333333334,8.505,14.35833333333333,11.993333333333334,22.308333333333334,12.348333333333333
2024-05-26,-7.376666666666666,-3.7810083333333333,-7.931666666666666,5.6165,-17.694999999999997,6.1641666666666675,8.695833333333331,14.231666666666666,11.705833333333333,21.666666666666668,12.067499999999999
2024-05-19,-6.965833333333333,-4.3960083333333335,-7.635,6.043166666666667,-16.47,6.260833333333333,8.575,14.849166666666665,10.926666666666666,21.575,12.342500000000001
2024-05-12,-6.754166666666666,-5.1325,-7.4799999999999995,6.094,-15.635833333333332,5.363333333333334,8.266666666666666,14.732499999999998,10.518333333333334,21.8,12.409166666666668
2024-05-05,-6.308333333333334,-4.8500000000000005,-7.559166666666667,6.233166666666667,-15.405,4.255833333333333,8.575,14.799166666666666,9.776666666666667,21.291666666666668,12.417499999999999
2024-04-28,-5.5616666666666665,-5.157500000000001,-7.326666666666666,7.398166666666667,-14.229999999999999,5.2008333333333345,9.716666666666667,15.389166666666664,10.529166666666667,22.075,13.072500000000002
2024-04-21,-5.789166666666667,-6.549166666666667,-7.845000000000001,6.737333333333333,-13.929999999999998,5.984166666666668,9.796666666666667,15.2725,10.298333333333334,21.46666666666667,12.6475
2024-04-14,-5.2683333333333335,-6.596666666666666,-7.575,6.782333333333333,-13.771666666666665,4.505833333333334,10.343333333333334,16.239166666666666,11.248333333333333,21.941666666666666,13.064166666666669
2024-04-07,-5.289166666666667,-6.878333333333334,-7.849166666666667,5.923166666666666,-13.638333333333334,4.345000000000001,10.445,16.58083333333333,10.706666666666665,22.325,12.628333333333334
2024-03-31,-5.895833333333334,-6.319166666666666,-8.569166666666666,5.690833333333334,-14.379999999999999,6.089166666666667,8.890833333333333,15.5775,10.431666666666667,23.016666666666666,12.088333333333333
2024-03-24,-6.29,-6.4775,-9.247499999999999,4.66,-15.826666666666664,5.090833333333334,8.810833333333333,12.374999999999998,9.44,21.5,10.940916666666666
2024-03-17,-5.624841666666667,-3.7358333333333333,-8.4225,4.995,-14.676666666666666,4.874166666666667,8.784166666666666,13.969166666666666,10.158333333333335,21.566666666666666,11.745916666666666
2024-03-10,-5.3431750000000005,-2.9200000000000004,-7.895833333333334,3.958333333333334,-14.235000000000001,3.727500000000001,8.8675,14.182500000000001,10.410833333333334,23.016666666666666,11.80425
2024-03-03,-5.458175000000001,-2.208333333333334,-8.262500000000001,5.026666666666666,-14.243333333333332,4.856666666666667,9.260833333333334,13.7325,10.094166666666666,23.825,12.035083333333334
2024-02-25,-5.829008333333333,-2.3766666666666674,-8.718333333333334,4.5625,-15.168333333333331,3.577500000000001,9.82,12.603333333333333,10.0975,23.599999999999998,11.718416666666666
2024-02-18,-6.190675000000001,-2.0875000000000004,-9.1875,4.151666666666666,-16.8525,3.7766666666666677,9.876666666666667,11.302499999999998,9.701666666666668,23.208333333333332,11.43425
2024-02-11,-6.5548416666666665,-1.619166666666667,-9.328333333333333,4.384166666666667,-17.174999999999997,2.9483333333333346,9.243333333333332,10.7525,9.835,22.525,11.43425
2024-02-04,-6.942341666666667,-0.9665000000000001,-9.120000000000001,3.9016666666666664,-18.05,2.5308333333333337,8.876666666666665,9.912499999999998,9.188333333333333,21.658333333333335,11.38425
2024-01-28,-6.981508333333333,-0.4265000000000003,-8.950000000000001,4.026666666666666,-18.183333333333334,1.0941666666666676,8.588333333333333,9.503333333333332,9.544166666666666,21.59166666666667,11.567583333333333
2024-01-21,-8.284841666666667,-0.8515000000000004,-9.895833333333332,3.09,-19.01666666666667,0.34666666666666757,7.631666666666666,7.494416666666666,8.3475,20.599999999999998,10.725916666666667
2024-01-14,-8.032341666666666,-0.8431666666666668,-9.380833333333333,3.840833333333333,-19.066666666666666,0.6008333333333342,8.150833333333333,6.944416666666665,9.030833333333334,20.541666666666668,11.361749999999999
2024-01-07,-8.034008333333334,-1.2165000000000001,-9.05,4.756666666666667,-19.299999999999997,0.030000000000000887,8.547499999999998,7.481083333333332,9.389166666666666,20.491666666666667,11.893416666666667
2023-12-31,-7.811508333333333,-1.5065000000000002,-8.627500000000001,5.74,-18.966666666666665,0.45750000000000085,10.759166666666665,7.865249999999999,10.7475,21.349999999999998,12.782499999999999
2023-12-24,-8.595,-3.2156666666666673,-9.194166666666666,5.153333333333332,-20.00833333333333,-0.49789166666666584,11.1375,6.069416666666666,10.564166666666667,20.474999999999998,12.099166666666667
2023-12-17,-8.918333333333333,-3.02225,-9.488333333333333,5.456666666666667,-20.824999999999996,-0.5628916666666658,10.692499999999999,5.6044166666666655,10.522499999999999,19.666666666666664,12.057500000000001
2023-12-10,-9.102500000000001,-2.7786666666666666,-9.33,5.390833333333333,-21.416666666666664,-1.2953916666666656,10.4175,6.22275,10.792499999999999,19.233333333333334,12.015833333333333
2023-12-03,-9.152500000000002,-2.404166666666667,-9.081666666666667,5.8975,-22.299999999999997,-1.1753916666666657,10.392499999999998,6.614416666666665,10.918333333333335,19.133333333333333,12.1575
2023-11-26,-8.620833333333334,-1.9843333333333337,-8.579166666666667,6.460833333333333,-22.258333333333333,-2.3420583333333327,10.835833333333333,7.511083333333332,11.514166666666666,19.71666666666667,12.525
2023-11-19,-8.851666666666667,-2.002666666666667,-8.504166666666666,5.532500000000001,-23.333333333333332,-1.500391666666666,10.288333333333332,8.294416666666667,12.755833333333333,20.658333333333335,12.283333333333333
