date,Atlanta,Boston,Dallas,Honolulu,Los Angeles,Miami,New York,San Diego,San Francisco,Tampa,U.S.
2023-12-01,-2.2411604375910055,-4.455454782965695,4.078656682682835,-12.31140368810566,-7.387982853174313,3.1571590388740356,-3.8663007478390576,-3.0598810550687805,-15.782541740962873,-0.08330972891014143,-2.486550253820563
2023-11-01,-2.310663088302678,-4.564891327638088,3.826383252535437,-11.554065242589829,-7.429270177367253,2.749841073204129,-4.077173224552144,-3.0981170667147895,-15.820122937560654,1.0270478229597035,-2.4956204419899652
2023-10-01,-2.475381527978715,-4.38415687148348,3.3391645501057665,-11.137679335514727,-6.75579564796982,3.0199687387681085,-4.033215427851533,-2.8448924326763936,-15.434454691786714,1.465712196697888,-2.5854273838043618
2023-09-01,-2.928749312116996,-5.24814603536794,2.905138627853776,-11.649480266699797,-6.679407587098418,2.976452278648045,-3.0561431275143103,-2.2454707833631016,-15.050705046383307,1.0337803428959402,-2.456026522988297
2023-08-01,-2.409217234461558,-3.624716401975181,3.4270409194605778,-11.036527611909563,-5.85187782949691,2.218205855527944,-2.492871402159069,-2.946658382888079,-15.006994404476416,1.0416318341414543,-2.2947995562507706
2023-07-01,-2.3657435916289105,-3.618176013621366,3.3784659704717335,-10.766882554350065,-5.976908213328668,2.899204975798164,-3.2323343606217025,-3.5441849548175086,-15.30697054965302,1.942544918208644,-2.264213345206778
2023-06-01,-2.29619228545469,-5.155091475452989,4.499318285108322,-11.813705375461636,-6.57807782258224,3.0079012791375037,-2.8972062242684227,-3.322210081800192,-15.704872204472842,3.501367852138526,-2.2672200609453963
2023-05-01,-3.0979331836304524,-5.885329598337319,4.327732623829128,-12.36293181630802,-6.786066968340143,2.115658107093199,-4.0350342320795924,-3.6725381846194893,-15.52331710255509,2.1388636068131683,-2.766866307055249
2023-04-01,-3.235690079383502,-7.0639683647359846,4.081136440665478,-13.640287769784177,-7.011937851186789,1.8179356914207467,-5.70160920517594,-4.670833768442407,-15.704949592177918,2.352655833131223,-3.2535873984611996
2023-03-01,-2.824842986741105,-7.138922132938208,4.0262081242193215,-15.239371421610425,-7.0590409313499025,1.2178812506429715,-5.33563407150398,-4.5659501160961735,-16.607895590142675,0.9630119529624226,-3.1285107137677737
