year,Atlanta,Boston,Dallas,Los Angeles,Miami,New York,San Diego,San Francisco,Tampa,Honolulu,U.S.
2019,0,0,0,0,0,0,0,0,0,0,0
2020,-26.974283839273504,-36.332757657970774,-19.975367780671604,-25.695421860950805,-30.398371989082882,-41.24319904297104,-25.67451835841501,-12.165951876810121,-25.936774407013395,-44.22208203108302,-26.11698461524994
2021,NA,-23.739393864278835,0.49727315408527595,-10.363877783595676,-2.1555779491606364,-25.456024949335877,-9.167555957780326,-0.33031007821743286,-5.896294510127708,-35.265486759535015,-9.005091582358027
2022,-3.470304585503381,-16.061234128708357,11.379346517532385,-3.2036527519818225,6.727211822381474,-22.409297009733187,-1.1486544487011252,-27.731908636734836,-0.6321265742235793,-27.260509448186287,-4.076116404031749
